用户	采购组	属性
OP_JINGLV	E13	采购员
OP_JINGLV	E57	采购员
OP_JINHL	61	采购员
OP_JINHL	B00	采购员
OP_JINHL	E50	采购员
OP_JINXH		管理员
OP_JINXIN	23	采购员
OP_JINXIN	78	采购员
OP_LEXIANG	E62	采购员
OP_LIANGQW		管理员
OP_LIDAN	32	采购员
OP_LIDAN	E31	采购员
OP_LIDAN	E41	采购员
OP_LIHAIMING	E06	采购员
OP_LILIN	19	采购员
OP_LILIN	E02	采购员
OP_LIMQ	1	采购员
OP_LIMQ	2	管理员
OP_LIUMINJIE		管理员
OP_LIUZHEN		管理员
OP_LIWENYAN		管理员
OP_LIWENYAN	71	采购员
OP_LIYONG	30	采购员
OP_LIYONG	61	采购员
OP_LIYONG	B00	采购员
OP_LIYONG	B01	采购员
OP_LIYONG	B03	采购员
OP_LIYONG	E42	采购员
OP_LIYONG	E43	采购员
OP_LOUJX	62	采购员
OP_LOUJX	E45	采购员
OP_MAJING	20	采购员
OP_NIDAIWEI	19	采购员
OP_NIDAIWEI	36	采购员
OP_NIDAIWEI	61	采购员
OP_NIDAIWEI	B01	采购员
OP_NIDAIWEI	E02	采购员
OP_NIDAIWEI	E38	采购员
OP_NIDAIWEI	E51	采购员
OP_NIEDAN		管理员
OP_NIPEIYUN		管理员
OP_NIYIBIN		管理员
OP_PANDP	5	采购员
OP_PANDP	31	采购员
OP_PANDP	E03	采购员
OP_QIANSC	E47	采购员
OP_SHAONAN	11	采购员
OP_SHAONAN	28	采购员
OP_SHAONAN	79	采购员
OP_SHAONAN	E26	采购员
OP_SHAOWEN	25	采购员
OP_SHAOWEN	31	采购员
OP_SHAOWEN	37	采购员
OP_SHAOWEN	60	采购员
OP_SHAOWEN	E30	采购员
OP_SHAOWEN	E32	采购员
OP_SHAOWEN	E41	采购员
OP_SHAOWEN	E57	采购员
OP_SHAOWEN	E58	采购员
OP_SHAOWEN	E59	采购员
OP_SHAOWEN	LTA	采购员
OP_SHENDL		管理员
OP_SHENJN	16	采购员
OP_SHENJN	21	采购员
OP_SHENJN	25	采购员
OP_SHENJN	31	采购员
OP_SHENJN	32	采购员
OP_SHENJN	37	采购员
OP_SHENJN	38	采购员
OP_SHENJN	60	采购员
OP_SHENJN	E03	采购员
OP_SHENJN	E04	采购员
OP_SHENJN	E05	采购员
OP_SHENJN	E06	采购员
OP_SHENJN	E07	采购员
OP_SHENJN	E08	采购员
OP_SHENJN	E17	采购员
OP_SHENJN	E20	采购员
OP_SHENJN	E28	采购员
OP_SHENJN	E30	采购员
OP_SHENJN	E31	采购员
OP_SHENJN	E32	采购员
OP_SHENJN	E35	采购员
OP_SHENJN	E37	采购员
OP_SHENJN	E40	采购员
OP_SHENJN	E43	采购员
OP_SHENJN	E50	采购员
OP_SHENJN	E55	采购员
OP_SHENJN	E57	采购员
OP_SHENJN	E58	采购员
OP_SHENJN	E59	采购员
OP_SHENJN	E72	采购员
OP_SHENJN	E73	采购员
OP_SHENJN	E74	采购员
OP_SHENJN	FC1	采购员
OP_SHENJN	FC2	采购员
OP_SHENJN	FC3	采购员
OP_SHENJN	LTA	采购员
OP_SHIRUOFEI		经理
OP_SHIWEN	B01	采购员
OP_SHIWEN	E48	采购员
OP_SONGYQ		管理员
OP_SONGYQ	37	采购员
OP_SONGYQ	B00	采购员
OP_SONGYUAN		管理员
OP_SUNAIHUA		管理员
OP_SUNBL		管理员
OP_SUNJING		管理员
OP_TAOYY		管理员
OP_TAOYY	E50	采购员
OP_TIANYC	7	采购员
OP_TIANYC	18	采购员
OP_TIANYC	51	采购员
OP_TIANYC	52	采购员
OP_TIANYC	73	采购员
OP_WANGCY		管理员
OP_WANGHH	B00	采购员
OP_WANGHH	B01	采购员
OP_WANGHH	B03	采购员
OP_WANGHH	E09	采购员
OP_WANGJUEQI	19	采购员
OP_WANGJUEQI	30	采购员
OP_WANGJUEQI	36	采购员
OP_WANGJUEQI	61	采购员
OP_WANGJUEQI	B00	采购员
OP_WANGJUEQI	B01	采购员
OP_WANGJUEQI	B03	采购员
OP_WANGJUEQI	E02	采购员
OP_WANGJUEQI	E09	采购员
OP_WANGJUEQI	E12	采购员
OP_WANGJUEQI	E38	采购员
OP_WANGJUEQI	E39	采购员
OP_WANGJUEQI	E42	采购员
OP_WANGJUEQI	E46	采购员
OP_WANGJUEQI	E48	采购员
OP_WANGJUEQI	E49	采购员
OP_WANGJUEQI	E51	采购员
OP_WANGJUEQI	E53	采购员
OP_WANGJX		管理员
OP_WANGLU		经理
OP_WANGLU	35	采购员
OP_WANGMEI	50	采购员
OP_WANGMEI	B03	采购员
OP_WANGMEI	E18	采购员
OP_WANGMIN		管理员
OP_WANGMIN	E03	采购员
OP_WANGQIN		管理员
OP_WANGQN		管理员
OP_WANGTAO	4	采购员
OP_WANGTAO	9	采购员
OP_WANGTAO	28	采购员
OP_WANGTAO	54	采购员
OP_WANGTAO	77	采购员
OP_WANGWEI	16	采购员
OP_WANGWEI	21	采购员
OP_WANGWEI	25	采购员
OP_WANGWEI	31	采购员
OP_WANGWEI	32	采购员
OP_WANGWEI	37	采购员
OP_WANGWEI	38	采购员
OP_WANGWEI	41	采购员
OP_WANGWEI	60	采购员
OP_WANGWEI	E03	采购员
OP_WANGWEI	E04	采购员
OP_WANGWEI	E05	采购员
OP_WANGWEI	E06	采购员
OP_WANGWEI	E07	采购员
OP_WANGWEI	E08	采购员
OP_WANGWEI	E20	采购员
OP_WANGWEI	E28	采购员
OP_WANGWEI	E30	采购员
OP_WANGWEI	E31	采购员
OP_WANGWEI	E32	采购员
OP_WANGWEI	E35	采购员
OP_WANGWEI	E37	采购员
OP_WANGWEI	E40	采购员
OP_WANGWEI	E41	采购员
OP_WANGWEI	E43	采购员
OP_WANGWEI	E50	采购员
OP_WANGWEI	E55	采购员
OP_WANGWEI	E57	采购员
OP_WANGWEI	E58	采购员
OP_WANGWEI	E59	采购员
OP_WANGWEI	E72	采购员
OP_WANGWEI	E73	采购员
OP_WANGWEI	E74	采购员
OP_WANGWEI	FC1	采购员
OP_WANGWEI	FC2	采购员
OP_WANGWEI	FC3	采购员
OP_WANGWEI	LTA	采购员
OP_WENGJW		管理员
OP_WUDAN		管理员
OP_WUFANGLU	78	采购员
OP_WULING		管理员
OP_WUSH		管理员
OP_WUSH	17	采购员
OP_WUSH	18	采购员
OP_WUSH	26	采购员
OP_WUSH	53	采购员
OP_WUSH	E29	采购员
OP_WUWEI	65	采购员
OP_WUWEI	83	采购员
OP_XIAWEI		管理员
OP_XUGUILING		管理员
OP_XUGUILING	61	采购员
OP_XUGUILING	B00	采购员
OP_XUHONGMIN	19	采购员
OP_XUHONGMIN	36	采购员
OP_XUHONGMIN	61	采购员
OP_XUHONGMIN	B00	采购员
OP_XUHONGMIN	B01	采购员
OP_XUHONGMIN	B03	采购员
OP_XUHONGMIN	E09	采购员
OP_XUHONGMIN	E51	采购员
OP_XUZHONGDE	25	采购员
OP_XUZHONGDE	E44	采购员
OP_YANGJJ		管理员
OP_YANGXI		管理员
OP_YANGXQ		管理员
OP_YANGXQ	61	采购员
OP_YANGYU	92	采购员
OP_YANGZG	10	采购员
OP_YANGZG	15	采购员
OP_YANGZG	26	采购员
OP_YANGZG	34	采购员
OP_YANGZG	35	采购员
OP_YANGZG	55	采购员
OP_YANGZG	57	采购员
OP_YANGZG	59	采购员
OP_YANGZG	E15	采购员
OP_YINZHIQI	B02	采购员
OP_YOUZQ	E31	采购员
OP_YOUZQ	E41	采购员
OP_YUANQIAN		管理员
OP_YUANTT		管理员
OP_YUYAN	E03	采购员
OP_YUYAN	E04	采购员
OP_YUYAN	E08	采购员
OP_YUYAN	E35	采购员
OP_YUYAN	E40	采购员
OP_ZHANGAP	58	采购员
OP_ZHANGAP	70	采购员
OP_ZHANGAP	82	采购员
OP_ZHANGAP	L06	采购员
OP_ZHANGCY		管理员
OP_ZHANGDH		管理员
OP_ZHANGHF		管理员
OP_ZHANGHZ		管理员
OP_ZHANGJT	E69	采购员
OP_ZHANGMENG		管理员
OP_ZHANGMENG	61	采购员
OP_ZHANGMENG	B03	采购员
OP_ZHANGMIN		管理员
OP_ZHANGMN		管理员
OP_ZHANGTAI		管理员
OP_ZHANGYF	E20	采购员
OP_ZHANGYF	E28	采购员
OP_ZHANGYF	E37	采购员
OP_ZHANGYF	E50	采购员
OP_ZHANGYI		管理员
OP_ZHAOWD	12	采购员
OP_ZHAOWD	E56	采购员
OP_ZHAOYING		管理员
OP_ZHAOYING	6	采购员
OP_ZHAOYING	20	采购员
OP_ZHAOYING	39	采购员
OP_ZHAOYING	50	采购员
OP_ZHAOYING	E18	采购员
OP_ZHAOYING	E24	采购员
OP_ZHAOYING	E28	采购员
OP_ZHAOYING	E45	采购员
OP_ZHAOYING	E68	采购员
OP_ZHENGLY	65	采购员
OP_ZHENGLY	83	采购员
OP_ZHOUGZ		管理员
OP_ZHOUJF		管理员
OP_ZHOUXP	1	采购员
OP_ZHOUYUHUA		管理员
OP_ZHOUYY	E08	采购员
OP_ZHOUYY	E40	采购员
OP_ZHOUYY	E57	采购员
OP_ZHOUYY	E64	采购员
OP_ZHOUZJ		管理员
OP_ZHUANGJZ	36	采购员
OP_ZHUANGJZ	B00	采购员
OP_ZHUANGJZ	B01	采购员
OP_ZHUANGJZ	B03	采购员
OP_ZHUANGJZ	L02	采购员
OP_ZHUCQ	92	采购员
OP_ZHUXY		管理员
OP_ZHUYY	20	采购员
OP_ZHUYY	39	采购员
OP_ZHUYY	40	采购员
OP_ZHUYY	E11	采购员
OP_ZHUYY	E16	采购员
OP_ZHUYY	E18	采购员
OP_ZHUYY	E20	采购员
OP_ZHUYY	E24	采购员
OP_ZHUYY	E28	采购员
OP_ZHUYY	E44	采购员
OP_ZHUYY	E45	采购员
OP_ZHUYY	E56	采购员
OP_ZHUYY	E63	采购员
OP_ZHUYY	E68	采购员
PSD_AP		管理员
QD_CRSUN	L01	采购员
QD_CRSUN	L02	采购员
QD_CRSUN	L03	采购员
QD_CRSUN	L04	采购员
QD_CRSUN	L05	采购员
QD_CRSUN	L06	采购员
QD_CRSUN	L07	采购员
QD_CRSUN	L08	采购员
QD_CRSUN	L09	采购员
QD_CRSUN	L10	采购员
QD_CRSUN	L11	采购员
QD_CRSUN	L12	采购员
QD_CRSUN	L13	采购员
QD_CRSUN	L15	采购员
QD_CRSUN	L16	采购员
QD_CRSUN	L17	采购员
QD_CRSUN	L18	采购员
QD_CRSUN	L19	采购员
QD_CRSUN	L20	采购员
QD_CRSUN	L21	采购员
QD_CRSUN	L22	采购员
QD_CRSUN	L23	采购员
QD_CRSUN	L24	采购员
QD_CRSUN	L25	采购员
QD_CRSUN	L26	采购员
QD_CRSUN	L27	采购员
QD_CRSUN	L28	采购员
QD_CRSUN	L29	采购员
QD_CRSUN	L30	采购员
QD_CRSUN	L31	采购员
QD_CRSUN	L32	采购员
QD_CRSUN	L33	采购员
QD_CRSUN	L34	采购员
QD_CRSUN	L35	采购员
QD_CRSUN	L36	采购员
QD_CRSUN	L37	采购员
QD_CRSUN	L39	采购员
QD_CRSUN	L40	采购员
QD_CRSUN	L41	采购员
QD_CRSUN	L44	采购员
QD_DNIE		管理员
QD_HZHAN022	E55	CALLOF
QD_JINXU	18	采购员
QD_JINXU	22	采购员
QD_JINXU	E62	采购员
QD_JINXU	L01	采购员
QD_JINXU	L02	采购员
QD_JINXU	L04	采购员
QD_JINXU	L05	采购员
QD_JINXU	L06	采购员
QD_JINXU	L07	采购员
QD_JINXU	L08	采购员
QD_JINXU	L09	采购员
QD_JINXU	L10	采购员
QD_JINXU	L11	采购员
QD_JINXU	L12	采购员
QD_JINXU	L13	采购员
QD_JINXU	L15	采购员
QD_JINXU	L20	采购员
QD_JINXU	L24	采购员
QD_JINXU	L26	采购员
QD_JINXU	L27	采购员
QD_JINXU	L28	采购员
QD_JINXU	L29	采购员
QD_JINXU	L30	采购员
QD_JLI040	L01	采购员
QD_JLI040	L02	采购员
QD_JLI040	L03	采购员
QD_JLI040	L04	采购员
QD_JLI040	L05	采购员
QD_JLI040	L06	采购员
QD_JLI040	L07	采购员
QD_JLI040	L08	采购员
QD_JLI040	L09	采购员
QD_JLI040	L10	采购员
QD_JLI040	L11	采购员
QD_JLI040	L12	采购员
QD_JLI040	L13	采购员
QD_JLI040	L15	采购员
QD_JLI040	L16	采购员
QD_JLI040	L18	采购员
QD_JLI040	L19	采购员
QD_JLI040	L20	采购员
QD_JLI040	L21	采购员
QD_JLI040	L22	采购员
QD_JLI040	L23	采购员
QD_JLI040	L24	采购员
QD_JLI040	L26	采购员
QD_JLI040	L27	采购员
QD_JLI040	L28	采购员
QD_JLI040	L29	采购员
QD_JLI040	L30	采购员
QD_JLI040	L31	采购员
QD_JLI040	L32	采购员
QD_JLI040	L33	采购员
QD_JLI040	L34	采购员
QD_JLI040	L35	采购员
QD_JLI040	L36	采购员
QD_JLI040	L37	采购员
QD_JLI040	L39	采购员
QD_JLI040	L40	采购员
QD_JLI040	L41	采购员
QD_JLI040	L45	采购员
QD_JLIU12	E58	CALLOF
QD_JLIU12	E58	采购员
QD_JLIU12	L02	采购员
QD_JLIU12	L10	采购员
QD_JLIU12	L12	采购员
QD_JLIU12	L17	采购员
QD_JLIU12	L26	采购员
QD_JLIU12	L28	采购员
QD_JLIU12	L29	采购员
QD_JLIU12	L37	采购员
QD_KEXILIU	E60	采购员
QD_KEXILIU	E61	采购员
QD_KEXILIU	L01	采购员
QD_KEXILIU	L02	采购员
QD_KEXILIU	L04	采购员
QD_KEXILIU	L05	采购员
QD_KEXILIU	L06	采购员
QD_KEXILIU	L07	采购员
QD_KEXILIU	L08	采购员
QD_KEXILIU	L09	采购员
QD_KEXILIU	L10	采购员
QD_KEXILIU	L11	采购员
QD_KEXILIU	L12	采购员
QD_KEXILIU	L13	采购员
QD_KEXILIU	L15	采购员
QD_KEXILIU	L16	采购员
QD_KEXILIU	L24	采购员
QD_KEXILIU	L26	采购员
QD_KEXILIU	L28	采购员
QD_KEXILIU	L29	采购员
QD_KEXILIU	L30	采购员
QD_KEXILIU	L34	采购员
QD_KEXILIU	L35	采购员
QD_KEXILIU	L37	采购员
QD_KEXILIU	L39	采购员
QD_KEXILIU	LA0	采购员
QD_KEXILIU	LA1	采购员
QD_KEXILIU	LA2	采购员
QD_KEXILIU	LA3	采购员
QD_KEXILIU	LA5	采购员
QD_KEXILIU	LA6	采购员
QD_KEXILIU	LA7	采购员
QD_KEXILIU	LA8	采购员
QD_KEXILIU	LA9	采购员
QD_KEXILIU	LB0	采购员
QD_KEXILIU	LB1	采购员
QD_KEXILIU	LB2	采购员
QD_KEXILIU	LB3	采购员
QD_KEXILIU	LB5	采购员
QD_KEXILIU	LB6	采购员
QD_KEXILIU	LB7	采购员
QD_KEXILIU	LC0	采购员
QD_KEXILIU	LC1	采购员
QD_KEXILIU	LC2	采购员
QD_KEXILIU	LC3	采购员
QD_WENDYL	E59	CALLOF
QD_WENDYL	E59	采购员
QD_WENDYL	L02	采购员
QD_WENDYL	L08	采购员
QD_WENDYL	L09	采购员
QD_WENDYL	L10	采购员
QD_WENDYL	L12	采购员
QD_WENDYL	L15	采购员
QD_WENDYL	L17	采购员
QD_WENDYL	L28	采购员
QD_WENDYL	L28	管理员
QD_XUFEIQ	E63	采购员
QD_XUFEIQ	L01	采购员
QD_XUFEIQ	L02	采购员
QD_XUFEIQ	L03	采购员
QD_XUFEIQ	L04	采购员
QD_XUFEIQ	L05	采购员
QD_XUFEIQ	L06	采购员
QD_XUFEIQ	L07	采购员
QD_XUFEIQ	L08	采购员
QD_XUFEIQ	L09	采购员
QD_XUFEIQ	L10	采购员
QD_XUFEIQ	L11	采购员
QD_XUFEIQ	L12	采购员
QD_XUFEIQ	L13	采购员
QD_XUFEIQ	L15	采购员
QD_XUFEIQ	L16	采购员
QD_XUFEIQ	L17	采购员
QD_XUFEIQ	L18	采购员
QD_XUFEIQ	L19	采购员
QD_XUFEIQ	L20	采购员
QD_XUFEIQ	L21	采购员
QD_XUFEIQ	L22	采购员
QD_XUFEIQ	L23	采购员
QD_XUFEIQ	L24	采购员
QD_XUFEIQ	L25	采购员
QD_XUFEIQ	L26	采购员
QD_XUFEIQ	L27	采购员
QD_XUFEIQ	L28	采购员
QD_XUFEIQ	L29	采购员
QD_XUFEIQ	L30	采购员
QD_XUFEIQ	L31	采购员
QD_XUFEIQ	L32	采购员
QD_XUFEIQ	L33	采购员
QD_XUFEIQ	L34	采购员
QD_XUFEIQ	L35	采购员
QD_XUFEIQ	L36	采购员
QD_XUFEIQ	L37	采购员
QD_XWANG14	E60	采购员
QD_XWANG14	L01	采购员
QD_XWANG14	L02	采购员
QD_XWANG14	L03	采购员
QD_XWANG14	L04	采购员
QD_XWANG14	L05	采购员
QD_XWANG14	L06	采购员
QD_XWANG14	L07	采购员
QD_XWANG14	L08	采购员
QD_XWANG14	L09	采购员
QD_XWANG14	L10	采购员
QD_XWANG14	L11	采购员
QD_XWANG14	L12	采购员
QD_XWANG14	L13	采购员
QD_XWANG14	L15	采购员
QD_XWANG14	L16	采购员
QD_XWANG14	L18	采购员
QD_XWANG14	L19	采购员
QD_XWANG14	L20	采购员
QD_XWANG14	L21	采购员
QD_XWANG14	L22	采购员
QD_XWANG14	L23	采购员
QD_XWANG14	L24	采购员
QD_XWANG14	L25	采购员
QD_XWANG14	L26	采购员
QD_XWANG14	L27	采购员
QD_XWANG14	L28	采购员
QD_XWANG14	L29	采购员
QD_XWANG14	L30	采购员
QD_XWANG14	L31	采购员
QD_XWANG14	L32	采购员
QD_XWANG14	L33	采购员
QD_XWANG14	L34	采购员
QD_XWANG14	L35	采购员
QD_XWANG14	L36	采购员
QD_XWANG14	L37	采购员
QD_XWANG14	L39	采购员
QD_XWANG14	L40	采购员
QD_XWANG14	L41	采购员
QD_XWANG14	L45	采购员
QD_XWANG15	E61	采购员
QD_XWANG16	L01	采购员
QD_XWANG17	L02	采购员
QD_XWANG18	L04	采购员
QD_XWANG19	L05	采购员
QD_XWANG20	L06	采购员
QD_XWANG21	L07	采购员
QD_XWANG22	L08	采购员
QD_XWANG23	L09	采购员
QD_XWANG24	L10	采购员
QD_XWANG25	L11	采购员
QD_XWANG26	L12	采购员
QD_XWANG27	L13	采购员
QD_XWANG28	L15	采购员
QD_XWANG29	L16	采购员
QD_XWANG30	L24	采购员
QD_XWANG31	L26	采购员
QD_XWANG32	L28	采购员
QD_XWANG33	L29	采购员
QD_XWANG34	L30	采购员
QD_XWANG35	L34	采购员
QD_XWANG36	L35	采购员
QD_XWANG37	L37	采购员
QD_XWANG38	L39	采购员
QD_XWANG39	LA0	采购员
QD_XWANG40	LA1	采购员
QD_XWANG41	LA2	采购员
QD_XWANG42	LA3	采购员
QD_XWANG43	LA5	采购员
QD_XWANG44	LA6	采购员
QD_XWANG45	LA7	采购员
QD_XWANG46	LA8	采购员
QD_XWANG47	LA9	采购员
QD_XWANG48	LB0	采购员
QD_XWANG49	LB1	采购员
QD_XWANG50	LB2	采购员
QD_XWANG51	LB3	采购员
QD_XWANG52	LB5	采购员
QD_XWANG53	LB6	采购员
QD_XWANG54	LB7	采购员
QD_XWANG55	LC0	采购员
QD_XWANG56	LC1	采购员
QD_XWANG57	LC2	采购员
QD_XWANG58	LC3	采购员
QD_YANWUZH	L01	采购员
QD_YANWUZH	L02	采购员
QD_YANWUZH	L03	采购员
QD_YANWUZH	L04	采购员
QD_YANWUZH	L05	采购员
QD_YANWUZH	L06	采购员
QD_YANWUZH	L07	采购员
QD_YANWUZH	L08	采购员
QD_YANWUZH	L09	采购员
QD_YANWUZH	L10	采购员
QD_YANWUZH	L11	采购员
QD_YANWUZH	L12	采购员
QD_YANWUZH	L13	采购员
QD_YANWUZH	L15	采购员
QD_YANWUZH	L16	采购员
QD_YANWUZH	L17	采购员
QD_YANWUZH	L18	采购员
QD_YANWUZH	L19	采购员
QD_YANWUZH	L20	采购员
QD_YANWUZH	L21	采购员
QD_YANWUZH	L22	采购员
QD_YANWUZH	L23	采购员
QD_YANWUZH	L24	采购员
QD_YANWUZH	L25	采购员
QD_YANWUZH	L26	采购员
QD_YANWUZH	L27	采购员
QD_YANWUZH	L28	采购员
QD_YANWUZH	L29	采购员
QD_YANWUZH	L30	采购员
QD_YANWUZH	L31	采购员
QD_YANWUZH	L32	采购员
QD_YANWUZH	L33	采购员
QD_YANWUZH	L34	采购员
QD_YANWUZH	L35	采购员
QD_YANWUZH	L36	采购员
QD_YANWUZH	L37	采购员
QD_YANWUZH	L38	采购员
QD_YANWUZH	L39	采购员
QD_YANWUZH	L40	采购员
QD_YANWUZH	L41	采购员
QD_YANWUZH	L42	采购员
QD_YANWUZH	L43	采购员
QD_YANWUZH	L44	采购员
QD_YANWUZH	L45	采购员
QD_YANWUZH	L50	采购员
QD_YANWUZH	L51	采购员
QD_YANWUZH	L52	采购员
QD_YANWUZH	L53	采购员
QD_YANWUZH	L54	采购员
QD_YANWUZH	L55	采购员
QD_YANWUZH	L56	采购员
QD_YANWUZH	L57	采购员
QD_YANWUZH	L58	采购员
QD_YANWUZH	L59	采购员
QD_YANWUZH	LA0	采购员
QD_YANWUZH	LA1	采购员
QD_YANWUZH	LA2	采购员
QD_YANWUZH	LA3	采购员
QD_YANWUZH	LA4	采购员
QD_YANWUZH	LA5	采购员
QD_YANWUZH	LA6	采购员
QD_YANWUZH	LA7	采购员
QD_YANWUZH	LA8	采购员
QD_YANWUZH	LA9	采购员
QD_YANWUZH	LB0	采购员
QD_YANWUZH	LB1	采购员
QD_YANWUZH	LB2	采购员
QD_YANWUZH	LB3	采购员
QD_YANWUZH	LB5	采购员
QD_YANWUZH	LB6	采购员
QD_YANWUZH	LB7	采购员
QD_YANWUZH	LC0	采购员
QD_YANWUZH	LC1	采购员
QD_YANWUZH	LC2	采购员
QD_YANWUZH	LC3	采购员
QD_YANWUZH	LC5	采购员
QD_YUEJ	E55	采购员
QD_YUEJ	E63	采购员
QD_YUEJ	L20	采购员
QD_YUEJ	L28	采购员
QD_YWW	E57	采购员
QD_YWW	E64	采购员
QD_ZHEDONG	51	采购员
QD_ZHEDONG	52	采购员
QD_ZHEDONG	E60	采购员
QD_ZHEDONG	E61	采购员
QD_ZHEDONG	L01	采购员
QD_ZHEDONG	L02	采购员
QD_ZHEDONG	L03	采购员
QD_ZHEDONG	L04	采购员
QD_ZHEDONG	L05	采购员
QD_ZHEDONG	L06	采购员
QD_ZHEDONG	L07	采购员
QD_ZHEDONG	L08	采购员
QD_ZHEDONG	L09	采购员
QD_ZHEDONG	L10	采购员
QD_ZHEDONG	L11	采购员
QD_ZHEDONG	L12	采购员
QD_ZHEDONG	L13	采购员
QD_ZHEDONG	L15	采购员
QD_ZHEDONG	L16	采购员
QD_ZHEDONG	L23	采购员
QD_ZHEDONG	L24	采购员
QD_ZHEDONG	L25	采购员
QD_ZHEDONG	L26	采购员
QD_ZHEDONG	L28	采购员
QD_ZHEDONG	L29	采购员
QD_ZHEDONG	L30	采购员
QD_ZHEDONG	L33	采购员
QD_ZHEDONG	L34	采购员
QD_ZHEDONG	L36	采购员
QD_ZHEDONG	L37	采购员
QD_ZHEDONG	L41	采购员
